Id,Country_Region,Date,ConfirmedCases
1,Armenia,2020-03-01,1
2,Armenia,2020-03-02,1
3,Armenia,2020-03-03,1
4,Armenia,2020-03-04,1
5,Armenia,2020-03-05,1
6,Armenia,2020-03-06,1
7,Armenia,2020-03-07,1
8,Armenia,2020-03-08,1
9,Armenia,2020-03-09,1
10,Armenia,2020-03-10,1
11,Armenia,2020-03-11,1
12,Armenia,2020-03-12,4
13,Armenia,2020-03-13,8
14,Armenia,2020-03-14,18
15,Armenia,2020-03-15,26
16,Armenia,2020-03-16,52
17,Armenia,2020-03-17,78
18,Armenia,2020-03-18,84
19,Armenia,2020-03-19,115
20,Armenia,2020-03-20,136
21,Armenia,2020-03-21,160
22,Armenia,2020-03-22,194
23,Armenia,2020-03-23,235
24,Armenia,2020-03-24,249
25,Armenia,2020-03-25,265
26,Armenia,2020-03-26,290
27,Armenia,2020-03-27,329
28,Armenia,2020-03-28,407
29,Armenia,2020-03-29,424
30,Armenia,2020-03-30,482
31,Armenia,2020-03-31,532
32,Armenia,2020-04-01,571
33,Armenia,2020-04-02,663
34,Armenia,2020-04-03,736
35,Armenia,2020-04-04,770
36,Armenia,2020-04-05,822
37,Armenia,2020-04-06,833
38,Armenia,2020-04-07,853
39,Armenia,2020-04-08,881
40,Armenia,2020-04-09,921
41,Armenia,2020-04-10,937
42,Armenia,2020-04-11,967
43,Armenia,2020-04-12,1013
44,Armenia,2020-04-13,1039
45,Armenia,2020-04-14,1067
46,Armenia,2020-04-15,1111
47,Armenia,2020-04-16,1159
48,Armenia,2020-04-17,1201
49,Armenia,2020-04-18,1248
50,Armenia,2020-04-19,1291
51,Armenia,2020-04-20,1339
52,Armenia,2020-04-21,1401
53,Armenia,2020-04-22,1473
54,Armenia,2020-04-23,1523
55,Armenia,2020-04-24,1596
56,Armenia,2020-04-25,1677
57,Armenia,2020-04-26,1746
58,Armenia,2020-04-27,1808
59,Armenia,2020-04-28,1867
60,Armenia,2020-04-29,1932
61,Armenia,2020-04-30,2066
62,Armenia,2020-05-01,2148
63,Armenia,2020-05-02,2273
64,Armenia,2020-05-03,2386
65,Armenia,2020-05-04,2507
66,Armenia,2020-05-05,2619
