iso_code,Country_Region,Date,ConfirmedCases,NewCases,TotalDeaths,NewDeaths
ARM,Armenia,2020-03-01,1,1,0,0
ARM,Armenia,2020-03-02,1,0,0,0
ARM,Armenia,2020-03-03,1,0,0,0
ARM,Armenia,2020-03-04,1,0,0,0
ARM,Armenia,2020-03-05,1,0,0,0
ARM,Armenia,2020-03-06,1,0,0,0
ARM,Armenia,2020-03-07,1,0,0,0
ARM,Armenia,2020-03-08,1,0,0,0
ARM,Armenia,2020-03-09,1,0,0,0
ARM,Armenia,2020-03-10,1,0,0,0
ARM,Armenia,2020-03-11,1,0,0,0
ARM,Armenia,2020-03-12,4,3,0,0
ARM,Armenia,2020-03-13,6,2,0,0
ARM,Armenia,2020-03-14,13,7,0,0
ARM,Armenia,2020-03-15,20,7,0,0
ARM,Armenia,2020-03-16,30,10,0,0
ARM,Armenia,2020-03-17,52,22,0,0
ARM,Armenia,2020-03-18,78,26,0,0
ARM,Armenia,2020-03-19,115,37,0,0
ARM,Armenia,2020-03-20,122,7,0,0
ARM,Armenia,2020-03-21,136,14,0,0
ARM,Armenia,2020-03-22,160,24,0,0
ARM,Armenia,2020-03-23,190,30,0,0
ARM,Armenia,2020-03-24,194,4,0,0
ARM,Armenia,2020-03-25,265,71,0,0
ARM,Armenia,2020-03-26,290,25,0,0
ARM,Armenia,2020-03-27,329,39,1,1
ARM,Armenia,2020-03-28,372,43,1,0
ARM,Armenia,2020-03-29,424,52,3,2
ARM,Armenia,2020-03-30,424,0,3,0
ARM,Armenia,2020-03-31,482,58,3,0
ARM,Armenia,2020-04-01,532,50,3,0
ARM,Armenia,2020-04-02,571,39,3,0
ARM,Armenia,2020-04-03,663,92,4,1
ARM,Armenia,2020-04-04,736,73,7,3
ARM,Armenia,2020-04-05,770,34,7,0
ARM,Armenia,2020-04-06,822,52,7,0
ARM,Armenia,2020-04-07,833,11,8,1
ARM,Armenia,2020-04-08,853,20,8,0
ARM,Armenia,2020-04-09,881,28,9,1
ARM,Armenia,2020-04-10,921,40,10,1
ARM,Armenia,2020-04-11,937,16,11,1
ARM,Armenia,2020-04-12,967,30,13,2
ARM,Armenia,2020-04-13,1013,46,13,0
ARM,Armenia,2020-04-14,1039,26,14,1
ARM,Armenia,2020-04-15,1111,72,17,3
ARM,Armenia,2020-04-16,1159,48,18,1
ARM,Armenia,2020-04-17,1201,42,19,1
ARM,Armenia,2020-04-18,1248,47,20,1
ARM,Armenia,2020-04-19,1291,43,20,0
ARM,Armenia,2020-04-20,1339,48,22,2
ARM,Armenia,2020-04-21,1401,62,24,2
ARM,Armenia,2020-04-22,1473,72,24,0
ARM,Armenia,2020-04-23,1523,50,24,0
ARM,Armenia,2020-04-24,1596,73,27,3
ARM,Armenia,2020-04-25,1677,81,28,1
ARM,Armenia,2020-04-26,1746,69,28,0
ARM,Armenia,2020-04-27,1808,62,29,1
ARM,Armenia,2020-04-28,1867,59,30,1
ARM,Armenia,2020-04-29,1932,65,30,0
ARM,Armenia,2020-04-30,1932,0,30,0
ARM,Armenia,2020-05-01,2066,134,32,2
ARM,Armenia,2020-05-02,2148,82,33,1
ARM,Armenia,2020-05-03,2273,125,33,0
ARM,Armenia,2020-05-04,2386,113,35,2
ARM,Armenia,2020-05-05,2507,121,39,4
ARM,Armenia,2020-05-06,2619,112,40,1
ARM,Armenia,2020-05-07,2782,163,40,0
ARM,Armenia,2020-05-08,2884,102,42,2
ARM,Armenia,2020-05-09,3029,145,43,1
ARM,Armenia,2020-05-10,3175,146,44,1
ARM,Armenia,2020-05-11,3313,138,45,1
ARM,Armenia,2020-05-12,3392,79,46,1
ARM,Armenia,2020-05-13,3538,146,47,1
